t,Close,High,Low,n,Open,Volume,vw
2024-11-04,136.15,138.96,135.59,19382,137.23,1893718,137.542978
2024-11-05,139.93,140.37,137.375,16518,137.43,1348050,139.388607
2024-11-06,145.5,146.49,141.975,28630,142.955,2916302,144.737959
2024-11-07,148.89,148.92,146.17,23317,146.39,2232131,148.102506
2024-11-08,147.69,149.75,146.27,22410,148.78,1848270,147.675195
2024-11-11,145.285,148.72,143.59,26113,148.68,2539065,145.496291
2024-11-12,148.4,149.61,146.03,28747,146.77,2390287,148.003638
2024-11-13,146.45,149.33,145.91,23923,149.055,2210450,147.064951
2024-11-14,146.83,149.0,145.6,23744,147.61,2266375,147.313632
2024-11-15,141.91,145.18,140.1,39133,144.89,3889458,142.103655
2024-11-18,140.13,141.515,137.18,29990,139.495,2989170,139.543773
2024-11-19,147.0,147.12,141.0,28600,141.28,2817554,144.380793
2024-11-20,145.89,147.41,142.73,35093,147.355,3194590,144.873035
2024-11-21,146.65,152.87,140.7,50122,149.27,5299846,145.823039
2024-11-22,141.91,147.16,141.1,30930,145.895,3293741,142.807706
2024-11-25,135.98,142.035,135.83,37463,141.95,3667362,137.341453
2024-11-26,136.885,139.295,135.68,28044,137.68,2648547,137.061059
2024-11-27,135.37,135.385,131.8,29504,135.01,2853118,133.573957
2024-11-29,138.28,139.34,136.05,17586,136.735,1920338,138.374484
2024-12-02,138.54,140.435,137.83,22612,138.84,2200598,139.040575
2024-12-03,140.22,140.54,137.95,18661,138.25,1667300,139.406116
2024-12-04,145.13,145.78,140.29,30842,142.075,3236981,143.921406
2024-12-05,145.11,146.525,143.96,20492,145.09,1977392,145.24097
2024-12-06,142.47,145.68,141.32,22526,144.63,2423881,143.384675
2024-12-09,138.81,139.94,137.16,25766,138.985,2458680,138.614023
2024-12-10,134.99,141.76,133.8,25265,138.97,2010308,137.022434
2024-12-11,139.28,140.16,135.22,16708,137.35,1619726,138.286276
2024-12-12,137.395,138.385,135.8,17057,137.09,1559352,137.24677
2024-12-13,134.18,139.55,132.55,33387,139.0,3711216,134.87162
2024-12-16,132.0,134.38,130.43,37926,134.17,4673200,131.694312
2024-12-17,130.3,131.585,126.89,31821,129.035,3441459,129.18097
2024-12-18,128.75,136.7,128.285,30844,133.88,2945155,133.645005
2024-12-19,130.68,134.0,129.59,20519,131.715,2035528,131.577426
2024-12-20,134.92,135.28,128.26,24666,129.81,2467581,133.402278
2024-12-23,136.42,137.81,135.13,3074,136.28,291809,136.692414
2024-12-24,140.2,141.9,138.71,9666,139.99,874127,140.775409
2024-12-26,139.91,140.83,137.73,15076,139.62,1203412,139.56672
2024-12-27,137.055,139.0,134.715,21545,138.555,2042354,136.297101
2024-12-30,137.42,140.25,134.03,17439,134.835,1695547,138.171
2024-12-31,134.2,138.06,133.84,15807,138.035,1424606,135.472577
2025-01-02,138.32,138.87,134.65,25765,136.02,2421189,137.315419
2025-01-03,144.42,144.895,139.835,31485,140.0,2799091,143.580367
2025-01-06,149.49,152.145,147.86,30900,148.61,2874316,150.458144
2025-01-07,140.17,153.1,140.01,41735,153.045,3833401,143.413743
2025-01-08,140.08,143.94,137.91,31517,142.63,2682030,140.816402
2025-01-10,135.93,137.69,134.23,29099,137.46,2635138,135.810323
2025-01-13,133.23,133.445,129.67,22358,129.98,2045865,131.94754
2025-01-14,131.78,136.32,130.05,20461,136.06,2120718,132.338798
2025-01-15,136.19,136.41,131.31,23705,133.64,2258924,134.688572
2025-01-16,133.58,138.72,133.52,27643,138.7,2755774,135.696942
